00012FISHER              PEGGY               SOUTH085000F000000
01520SMITH               JOE                 NORTH076000M000000
65023MOUSE               MICKEY              WEST 10Q000M000000
12345GATES               TERRY               SOUTH090000M000000
54321SHILLINGS           PATTI               NORTH123000F000000
00123CAI                 GUORAI              EAST 055000M000000
00234KHALIL              ZAHRA               WEST 125000F000000
02365ANDERSON            LILA                SOUTH090400F000000
10934HOPKE               JOAN                NORTH009500F000000
00034YOUNG               REGINA              NORTH125000F000000
00235RYOO                JUNGWOO             EAST 900500M005000
