123456789CORKERY   DANIELLE  F19640822F
101223303POWER     JIM       G19681219M
222334444KINGSTON  DELORES   R19670418F
111223333OCKER     ROSALLIE  R19690128F
222334444FLOOD     LAWRENCE  M19671009M
333445555WILLIAMS  TED       J19650128M
444556666FRYER     MAURICIO  B19650412M
155667777HUBERT    TREVOR    J19681114M
261778888JONES     VINCENT   T19680726M
377889999WALSH     SEAN      M19700313M
288990000SWEENEY   PETER     T19690905M
199001111TANSEY    MARY      T19661212F
111223333O'BRIEN   ASHELY    S19681225F
202564758COFFEY    SAMUEL    D19631121M
205123456WILSON    HANK      A19640414M
365487799HILL      MAGGIE    B19671023F
204159758DUBRANT   FRANK     L19631130M
198375046MACKEY    TIMOTHY   D19690918M
206542587BOBBIN    WENDY     E19701206F
305541567DALEY     FRANCIS   R19640316F
204125236GRANT     HAILEY    S19640703F
221054251RICHARDS  TRACY     R19681007F
301252000GORMAN    WILLIAM   J19690211M
